entry,date,places,coordinates,lat,lon
jqadiaries-v33-1825-03-06,1825-03-06,Ohio,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
jqadiaries-v33-1825-03-06,1825-03-06,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-06,1825-03-06,Mexico,"(22.5000485, -100.000037)",22.5000485,-100.000037
jqadiaries-v33-1825-03-06,1825-03-06,Rockville,"(39.0817985, -77.1516844)",39.0817985,-77.1516844
jqadiaries-v33-1825-03-07,1825-03-07,Connecticut,"(41.6500201, -72.7342163)",41.6500201,-72.7342163
jqadiaries-v33-1825-03-07,1825-03-07,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v33-1825-03-07,1825-03-07,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-07,1825-03-07,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-07,1825-03-07,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-07,1825-03-07,Barton,"(37.5040024, -94.3620755)",37.5040024,-94.3620755
jqadiaries-v33-1825-03-07,1825-03-07,Johnston,"(41.6731523, -93.6973395)",41.6731523,-93.6973395
jqadiaries-v33-1825-03-07,1825-03-07,Louisiana,"(30.8703881, -92.007126)",30.8703881,-92.007126
jqadiaries-v33-1825-03-07,1825-03-07,Branch,"(41.916753, -85.0649374)",41.916753,-85.0649374
jqadiaries-v33-1825-03-07,1825-03-07,Cobb,"(51.213149, -1.6042075)",51.213149,-1.6042075
jqadiaries-v33-1825-03-07,1825-03-07,Eaton,"(42.5935964, -84.8443666)",42.5935964,-84.8443666
jqadiaries-v33-1825-03-07,1825-03-07,Mississippi,"(32.9715285, -89.7348497)",32.9715285,-89.7348497
jqadiaries-v33-1825-03-07,1825-03-07,Jackson,"(32.2990384, -90.1847691)",32.2990384,-90.1847691
jqadiaries-v33-1825-03-07,1825-03-07,Macon,"(32.8406946, -83.6324022)",32.8406946,-83.6324022
jqadiaries-v33-1825-03-07,1825-03-07,Marks,"(51.7069911, 46.7483653)",51.7069911,46.7483653
jqadiaries-v33-1825-03-07,1825-03-07,the States of New-Hampshire,"(43.4849133, -71.6553992)",43.4849133,-71.6553992
