entry,date,subject,x,y
jqadiaries-v30-1818-05-22,1818-05-22,,0.37367603182792664,4.644036769866943
jqadiaries-v30-1818-05-23,1818-05-23,,0.30191466212272644,2.7721357345581055
jqadiaries-v30-1818-05-24,1818-05-24,,3.506990671157837,3.7430548667907715
jqadiaries-v30-1818-05-25,1818-05-25,,2.6188600063323975,4.065478324890137
jqadiaries-v30-1818-05-26,1818-05-26,,0.1763962209224701,3.862105369567871
jqadiaries-v30-1818-05-27,1818-05-27,,0.6354185342788696,4.781281471252441
jqadiaries-v30-1818-05-28,1818-05-28,,0.8554858565330505,3.3582875728607178
jqadiaries-v30-1818-05-29,1818-05-29,,0.6996698975563049,3.969024658203125
jqadiaries-v30-1818-05-30,1818-05-30,,0.42918574810028076,2.4427096843719482
jqadiaries-v30-1818-05-31,1818-05-31,,0.15267671644687653,4.156352519989014
jqadiaries-v30-1818-05-xx,1818-05,,0.960742712020874,6.606041431427002
jqadiaries-v30-1818-03-01,1818-03-01,,0.6345027685165405,3.9477293491363525
jqadiaries-v30-1818-03-02,1818-03-02,,0.039960239082574844,3.3457751274108887
jqadiaries-v30-1818-03-03,1818-03-03,,-0.4924115538597107,3.167142152786255
jqadiaries-v30-1818-03-04,1818-03-04,,0.8593434691429138,4.211205005645752
jqadiaries-v30-1818-03-05,1818-03-05,,1.0314078330993652,5.432547569274902
jqadiaries-v30-1818-03-06,1818-03-06,,1.991705060005188,4.171562194824219
jqadiaries-v30-1818-03-07,1818-03-07,,0.5668937563896179,2.4088656902313232
jqadiaries-v30-1818-03-08,1818-03-08,,2.0647504329681396,4.93720817565918
jqadiaries-v30-1818-03-09,1818-03-09,,0.7897449135780334,3.7823896408081055
jqadiaries-v30-1818-03-10,1818-03-10,,1.4621143341064453,3.320565700531006
jqadiaries-v30-1818-03-11,1818-03-11,,1.34565269947052,4.945648193359375
jqadiaries-v30-1818-03-12,1818-03-12,,1.0452872514724731,3.461347818374634
jqadiaries-v30-1818-03-13,1818-03-13,,0.7051219940185547,3.821747303009033
jqadiaries-v30-1818-03-14,1818-03-14,,0.5230839848518372,4.498623371124268
jqadiaries-v30-1818-03-15,1818-03-15,,0.6526345610618591,4.993679523468018
jqadiaries-v30-1818-03-16,1818-03-16,,1.1902369260787964,4.556573390960693
jqadiaries-v30-1818-03-17,1818-03-17,,0.6156187057495117,3.840513229370117
jqadiaries-v30-1818-03-18,1818-03-18,,-0.09720837324857712,2.4829299449920654
jqadiaries-v30-1818-03-19,1818-03-19,,1.0826163291931152,4.427138328552246
jqadiaries-v30-1818-03-20,1818-03-20,,0.36540138721466064,4.369539260864258
jqadiaries-v30-1818-03-21,1818-03-21,,1.2078646421432495,3.890428066253662
jqadiaries-v30-1818-03-22,1818-03-22,,-0.2700687050819397,2.205240488052368
jqadiaries-v30-1818-03-23,1818-03-23,,0.5564147233963013,3.3577992916107178
jqadiaries-v30-1818-03-24,1818-03-24,,0.7062921524047852,3.8384878635406494
jqadiaries-v30-1818-03-25,1818-03-25,,0.46666884422302246,4.510429382324219
jqadiaries-v30-1818-03-26,1818-03-26,,0.7148222923278809,3.8634088039398193
jqadiaries-v30-1818-03-27,1818-03-27,,-1.0098824501037598,3.818098545074463
jqadiaries-v30-1818-03-28,1818-03-28,,-0.12134166806936264,2.045382022857666
jqadiaries-v30-1818-03-29,1818-03-29,,0.8334437608718872,4.2766876220703125
jqadiaries-v30-1818-03-30,1818-03-30,,0.13395802676677704,1.9814139604568481
jqadiaries-v30-1818-03-31,1818-03-31,,0.3745844066143036,3.7643985748291016
jqadiaries-v30-1818-03-xx,1818-03,,1.1629087924957275,5.844147682189941
jqadiaries-v30-1818-02-01,1818-02-01,,1.2825766801834106,5.219788551330566
jqadiaries-v30-1818-02-02,1818-02-02,,1.2487854957580566,4.035454750061035
jqadiaries-v30-1818-02-03,1818-02-03,,0.25288376212120056,3.9251909255981445
jqadiaries-v30-1818-02-04,1818-02-04,,1.742599368095398,4.564398765563965
jqadiaries-v30-1818-02-05,1818-02-05,,0.7613632678985596,3.5200562477111816
jqadiaries-v30-1818-02-06,1818-02-06,,0.6624689698219299,4.158909797668457
jqadiaries-v30-1818-02-07,1818-02-07,,0.38650572299957275,2.5746285915374756
jqadiaries-v30-1818-02-08,1818-02-08,,1.7574642896652222,3.3842384815216064
jqadiaries-v30-1818-02-09,1818-02-09,,1.575411319732666,4.172614097595215
jqadiaries-v30-1818-02-10,1818-02-10,,0.005748345982283354,1.9489177465438843
jqadiaries-v30-1818-02-11,1818-02-11,,0.9936983585357666,4.672128677368164
jqadiaries-v30-1818-02-12,1818-02-12,,-0.13477104902267456,3.7632358074188232
jqadiaries-v30-1818-02-13,1818-02-13,,0.3669924736022949,3.922337770462036
jqadiaries-v30-1818-02-14,1818-02-14,,-0.0075733172707259655,3.317366361618042
jqadiaries-v30-1818-02-15,1818-02-15,,2.107386589050293,4.732126712799072
jqadiaries-v30-1818-02-16,1818-02-16,,1.41948401927948,3.0857937335968018
jqadiaries-v30-1818-02-17,1818-02-17,,0.878361165523529,4.468712329864502
jqadiaries-v30-1818-02-18,1818-02-18,,3.041595220565796,3.348782539367676
jqadiaries-v30-1818-02-19,1818-02-19,,0.6502178311347961,3.624429702758789
jqadiaries-v30-1818-02-20,1818-02-20,,0.6029104590415955,4.650548934936523
jqadiaries-v30-1818-02-21,1818-02-21,,0.9984016418457031,3.916825294494629
jqadiaries-v30-1818-02-22,1818-02-22,,3.837214708328247,2.232168197631836
jqadiaries-v30-1818-02-23,1818-02-23,,0.5316479206085205,4.261265754699707
jqadiaries-v30-1818-02-24,1818-02-24,,1.3324487209320068,4.464357376098633
jqadiaries-v30-1818-02-25,1818-02-25,,0.2125559002161026,4.325464248657227
jqadiaries-v30-1818-02-26,1818-02-26,,1.2523142099380493,4.12395715713501
jqadiaries-v30-1818-02-27,1818-02-27,,0.0548149049282074,4.355031967163086
jqadiaries-v30-1818-02-28,1818-02-28,,-0.26326605677604675,3.8238325119018555
jqadiaries-v30-1818-02-xx,1818-02,,1.1505801677703857,6.303025722503662
jqadiaries-v30-1818-07-01,1818-07-01,,0.6918323040008545,4.068455696105957
jqadiaries-v30-1818-07-02,1818-07-02,,1.5857709646224976,4.432694911956787
jqadiaries-v30-1818-07-03,1818-07-03,,0.7749683260917664,3.7920737266540527
jqadiaries-v30-1818-07-04,1818-07-04,,1.3305946588516235,4.750626087188721
jqadiaries-v30-1818-07-05,1818-07-05,,1.7179992198944092,5.182844638824463
jqadiaries-v30-1818-07-06,1818-07-06,,2.0063183307647705,4.078632354736328
jqadiaries-v30-1818-07-07,1818-07-07,,1.3592101335525513,4.672736644744873
jqadiaries-v30-1818-07-08,1818-07-08,,0.2885897159576416,4.504527568817139
jqadiaries-v30-1818-07-09,1818-07-09,,1.1679929494857788,4.644091606140137
jqadiaries-v30-1818-07-10,1818-07-10,,-0.10784664005041122,4.093925952911377
jqadiaries-v30-1818-07-11,1818-07-11,,1.1612069606781006,6.59843635559082
jqadiaries-v30-1818-07-12,1818-07-12,,1.907626748085022,5.563694953918457
jqadiaries-v30-1818-07-13,1818-07-13,,3.5222890377044678,5.696789741516113
jqadiaries-v30-1818-07-14,1818-07-14,,1.0507102012634277,4.7799811363220215
jqadiaries-v30-1818-07-15,1818-07-15,,-0.7419446706771851,2.870098829269409
jqadiaries-v30-1818-07-16,1818-07-16,,-0.6649683713912964,3.3133981227874756
jqadiaries-v30-1818-07-17,1818-07-17,,-0.7453516721725464,3.2647550106048584
jqadiaries-v30-1818-07-18,1818-07-18,,0.21865756809711456,2.4915308952331543
jqadiaries-v30-1818-07-19,1818-07-19,,0.6573117971420288,4.768944263458252
jqadiaries-v30-1818-07-20,1818-07-20,,-0.7032039761543274,3.2819643020629883
jqadiaries-v30-1818-07-21,1818-07-21,,-0.5875243544578552,2.8368966579437256
jqadiaries-v30-1818-07-22,1818-07-22,,-0.14433850347995758,4.034441947937012
jqadiaries-v30-1818-07-23,1818-07-23,,0.9759681820869446,4.000124931335449
jqadiaries-v30-1818-07-24,1818-07-24,,0.42497891187667847,4.2499566078186035
jqadiaries-v30-1818-07-25,1818-07-25,,-0.43888038396835327,2.6835124492645264
jqadiaries-v30-1818-07-26,1818-07-26,,1.8017628192901611,5.522487163543701
jqadiaries-v30-1818-07-27,1818-07-27,,0.011602265760302544,3.9177606105804443
jqadiaries-v30-1818-07-28,1818-07-28,,-0.18706347048282623,2.933288812637329
jqadiaries-v30-1818-07-29,1818-07-29,,2.525693893432617,3.508997917175293
jqadiaries-v30-1818-07-30,1818-07-30,,0.02354409359395504,4.90814733505249
jqadiaries-v30-1818-07-31,1818-07-31,,1.599980354309082,5.2717132568359375
jqadiaries-v30-1818-07-xx,1818-07,,0.5350061655044556,4.612428665161133
jqadiaries-v30-1818-01-01,1818-01-01,,1.8488423824310303,5.392078399658203
jqadiaries-v30-1818-01-02,1818-01-02,,2.601450204849243,3.1018753051757812
jqadiaries-v30-1818-01-03,1818-01-03,,0.42686498165130615,4.300690174102783
jqadiaries-v30-1818-01-04,1818-01-04,,2.0995826721191406,3.346356153488159
jqadiaries-v30-1818-01-05,1818-01-05,,1.2692605257034302,2.6114022731781006
jqadiaries-v30-1818-01-06,1818-01-06,,1.393474817276001,3.1106693744659424
jqadiaries-v30-1818-01-07,1818-01-07,,1.2600325345993042,4.254196643829346
jqadiaries-v30-1818-01-08,1818-01-08,,0.7257222533226013,3.8956186771392822
jqadiaries-v30-1818-01-09,1818-01-09,,0.2654196619987488,2.397937536239624
jqadiaries-v30-1818-01-10,1818-01-10,,-0.2013896256685257,3.772019147872925
jqadiaries-v30-1818-01-11,1818-01-11,,0.8545441031455994,4.351682662963867
jqadiaries-v30-1818-01-12,1818-01-12,,0.5714201331138611,4.2291765213012695
jqadiaries-v30-1818-01-13,1818-01-13,,-0.7366814017295837,3.576720714569092
jqadiaries-v30-1818-01-14,1818-01-14,,-0.7172636985778809,3.17340350151062
jqadiaries-v30-1818-01-15,1818-01-15,,0.9759904146194458,4.041611671447754
jqadiaries-v30-1818-01-16,1818-01-16,,0.5594442486763,4.055786609649658
jqadiaries-v30-1818-01-17,1818-01-17,,0.6139687299728394,4.235043525695801
jqadiaries-v30-1818-01-18,1818-01-18,,1.5092121362686157,5.058899879455566
jqadiaries-v30-1818-01-19,1818-01-19,,1.1177579164505005,4.133666515350342
jqadiaries-v30-1818-01-20,1818-01-20,,0.760944128036499,3.731198787689209
jqadiaries-v30-1818-01-21,1818-01-21,,0.33586135506629944,4.215391635894775
jqadiaries-v30-1818-01-22,1818-01-22,,-0.34971505403518677,3.9451894760131836
jqadiaries-v30-1818-01-23,1818-01-23,,0.7931718230247498,4.110916614532471
jqadiaries-v30-1818-01-24,1818-01-24,,0.866223156452179,4.476433753967285
jqadiaries-v30-1818-01-25,1818-01-25,,1.5469183921813965,4.050821781158447
jqadiaries-v30-1818-01-26,1818-01-26,,0.46873313188552856,3.503373146057129
jqadiaries-v30-1818-01-27,1818-01-27,,-0.7685652375221252,3.761451482772827
jqadiaries-v30-1818-01-28,1818-01-28,,0.17406655848026276,3.9919517040252686
jqadiaries-v30-1818-01-29,1818-01-29,,1.6429880857467651,4.086783409118652
jqadiaries-v30-1818-01-30,1818-01-30,,1.4839876890182495,3.7097861766815186
jqadiaries-v30-1818-01-31,1818-01-31,,-0.9728223085403442,3.1790711879730225
jqadiaries-v30-1818-01-xx,1818-01,,1.7118583917617798,4.168898582458496
jqadiaries-v30-1818-04-01,1818-04-01,,0.48110198974609375,2.6537299156188965
jqadiaries-v30-1818-04-02,1818-04-02,,0.7145149111747742,2.7203919887542725
jqadiaries-v30-1818-04-03,1818-04-03,,1.8125619888305664,2.9215991497039795
jqadiaries-v30-1818-04-04,1818-04-04,,0.4961913526058197,3.755673885345459
jqadiaries-v30-1818-04-05,1818-04-05,,2.3136332035064697,4.663041591644287
jqadiaries-v30-1818-04-06,1818-04-06,,0.7068392038345337,4.743136882781982
jqadiaries-v30-1818-04-07,1818-04-07,,0.7199596166610718,4.602731704711914
jqadiaries-v30-1818-04-08,1818-04-08,,0.1518305540084839,3.7295427322387695
jqadiaries-v30-1818-04-09,1818-04-09,,0.30767178535461426,4.3686017990112305
jqadiaries-v30-1818-04-10,1818-04-10,,-0.046437766402959824,2.2840957641601562
jqadiaries-v30-1818-04-11,1818-04-11,,-0.3953227400779724,2.6225075721740723
jqadiaries-v30-1818-04-12,1818-04-12,,1.8453786373138428,3.8715806007385254
jqadiaries-v30-1818-04-13,1818-04-13,,0.9474607706069946,2.194667339324951
jqadiaries-v30-1818-04-14,1818-04-14,,-0.593359649181366,3.9226813316345215
jqadiaries-v30-1818-04-15,1818-04-15,,0.6619554162025452,4.37211275100708
jqadiaries-v30-1818-04-16,1818-04-16,,0.6985655426979065,4.8542022705078125
jqadiaries-v30-1818-04-17,1818-04-17,,0.6457119584083557,4.615334510803223
jqadiaries-v30-1818-04-18,1818-04-18,,0.2589561939239502,3.7703440189361572
jqadiaries-v30-1818-04-19,1818-04-19,,1.5590225458145142,3.2152318954467773
jqadiaries-v30-1818-04-20,1818-04-20,,1.2361066341400146,2.519639492034912
jqadiaries-v30-1818-04-21,1818-04-21,,0.7283660769462585,4.545607089996338
jqadiaries-v30-1818-04-22,1818-04-22,,0.913326621055603,4.238259315490723
jqadiaries-v30-1818-04-23,1818-04-23,,0.9810081720352173,5.252461910247803
jqadiaries-v30-1818-04-24,1818-04-24,,0.2127677947282791,3.8876736164093018
jqadiaries-v30-1818-04-25,1818-04-25,,1.0802093744277954,4.186709403991699
jqadiaries-v30-1818-04-26,1818-04-26,,1.1018617153167725,5.933322429656982
jqadiaries-v30-1818-04-27,1818-04-27,,1.4240492582321167,3.4060142040252686
jqadiaries-v30-1818-04-28,1818-04-28,,0.54604572057724,2.2766952514648438
jqadiaries-v30-1818-04-29,1818-04-29,,0.5196928381919861,4.855966091156006
jqadiaries-v30-1818-04-30,1818-04-30,,-0.29782000184059143,4.182950019836426
jqadiaries-v30-1818-04-xx,1818-04,,1.038225531578064,6.319614887237549
jqadiaries-v30-1818-11-01,1818-11-01,,2.0505993366241455,6.228783130645752
jqadiaries-v30-1818-11-02,1818-11-02,,0.8910886645317078,5.567374229431152
jqadiaries-v30-1818-11-03,1818-11-03,,2.012348175048828,6.224835395812988
jqadiaries-v30-1818-11-04,1818-11-04,,-0.3593374788761139,3.7000064849853516
jqadiaries-v30-1818-11-05,1818-11-05,,1.4529303312301636,4.859182357788086
jqadiaries-v30-1818-11-06,1818-11-06,,0.49536797404289246,4.571949005126953
jqadiaries-v30-1818-11-07,1818-11-07,,-0.784544050693512,2.970642328262329
jqadiaries-v30-1818-11-08,1818-11-08,,1.10101318359375,5.538809776306152
jqadiaries-v30-1818-11-09,1818-11-09,,-0.98943692445755,3.7093863487243652
jqadiaries-v30-1818-11-10,1818-11-10,,0.46880558133125305,4.317220211029053
jqadiaries-v30-1818-11-11,1818-11-11,,-0.2640736699104309,3.8820154666900635
jqadiaries-v30-1818-11-12,1818-11-12,,1.42353093624115,4.930639743804932
jqadiaries-v30-1818-11-13,1818-11-13,,1.1566566228866577,5.286301136016846
jqadiaries-v30-1818-11-14,1818-11-14,,0.6586032509803772,4.215439319610596
jqadiaries-v30-1818-11-15,1818-11-15,,1.5395846366882324,2.5514960289001465
jqadiaries-v30-1818-11-16,1818-11-16,,0.7429518103599548,4.4827799797058105
jqadiaries-v30-1818-11-17,1818-11-17,,-0.8106026649475098,3.734569787979126
jqadiaries-v30-1818-11-18,1818-11-18,,1.2275190353393555,2.0006487369537354
jqadiaries-v30-1818-11-19,1818-11-19,,1.1082770824432373,5.3290934562683105
